Mois;Qualité;Territoire;Production totale;Production nucléaire;Production thermique totale;Production thermique charbon;Production thermique fioul;Production thermique gaz;Production hydraulique;Production éolien;Production solaire;Production bioénergies;Consommation totale;Solde exportateur;Echanges export;Echanges import;Echanges avec le Royaume-Uni;Echanges avec l'Espagne;Echanges avec l'Italie;Echanges avec la Suisse;Echanges avec l'Allemagne et la Belgique;
2017-05;Données définitives;Pays-de-la-Loire;580;;388;342;13;32;0;101;60;29;1974;-1394;;;;;;;;
2017-06;Données définitives;Grand-Est;8436;6655;555;64;5;485;757;342;73;52;3318;5044;;;;;;;;
2017-06;Données définitives;Nouvelle-Aquitaine;3287;2571;31;;7;24;176;78;295;134;2999;287;;;;;;;;
2017-06;Données définitives;Auvergne-Rhône-Alpes;8083;5376;26;6;16;3;2445;56;112;65;4778;3001;;;;;;;;
2017-06;Données définitives;Bourgogne-Franche-Comté;172;;23;0;0;22;29;70;32;16;1511;-1344;;;;;;;;
2017-06;Données définitives;Bretagne;202;;11;;11;0;44;86;28;30;1434;-1237;;;;;;;;
2017-06;Données définitives;Centre-Val de Loire;5199;5008;0;;0;0;3;106;36;42;1282;3916;;;;;;;;
2017-06;Données définitives;France;37373;26884;2028;353;215;1458;5097;1476;1131;756;33374;3246;5674;2427;883;1430;1455;-223;-300;
2017-06;Données définitives;Ile-de-France;146;;18;0;13;5;3;5;11;108;4824;-4678;;;;;;;;
2017-06;Données définitives;Occitanie;2938;1747;2;;2;0;723;171;243;50;2658;124;;;;;;;;
2017-06;Données définitives;Normandie;3654;3242;280;88;37;153;7;74;18;30;1890;1764;;;;;;;;
2017-06;Données définitives;Hauts-de-France;3293;2281;518;4;0;513;0;395;19;77;3629;-336;;;;;;;;
2017-06;Données définitives;PACA;1506;;315;51;16;247;897;5;174;114;3028;-1530;;;;;;;;
2017-06;Données définitives;Pays-de-la-Loire;327;;148;138;9;1;0;80;65;32;1852;-1524;;;;;;;;
2017-07;Données définitives;Grand-Est;9412;7488;750;171;5;573;682;370;63;57;3332;6008;;;;;;;;
2017-07;Données définitives;Nouvelle-Aquitaine;3618;2952;29;;6;23;160;75;270;129;3126;492;;;;;;;;
2017-07;Données définitives;Auvergne-Rhône-Alpes;8735;6592;22;6;15;0;1860;69;108;82;4875;3653;;;;;;;;
2017-07;Données définitives;Bourgogne-Franche-Comté;163;;24;0;0;23;22;72;28;16;1536;-1377;;;;;;;;
2017-07;Données définitives;Bretagne;216;;1;;1;0;47;107;25;34;1477;-1267;;;;;;;;
2017-07;Données définitives;Centre-Val de Loire;4870;4649;0;;0;0;0;142;31;46;1291;3578;;;;;;;;
2017-07;Données définitives;France;38905;28159;3236;867;216;2151;3893;1714;1082;818;33877;4353;6675;2322;1205;1402;1781;270;-307;
2017-07;Données définitives;Ile-de-France;153;;4;0;1;2;3;6;9;130;4693;-4539;;;;;;;;
2017-07;Données définitives;Occitanie;1973;893;0;;0;0;513;264;241;60;2737;-957;;;;;;;;
2017-07;Données définitives;Normandie;4412;3830;438;232;40;166;7;85;16;35;1930;2482;;;;;;;;
2017-07;Données définitives;Hauts-de-France;3100;1753;835;1;0;833;0;408;16;85;3595;-495;;;;;;;;
2017-07;Données définitives;PACA;1504;;607;65;15;526;589;9;192;106;3210;-1709;;;;;;;;
2017-07;Données définitives;Pays-de-la-Loire;599;;408;390;15;2;0;100;56;33;1878;-1278;;;;;;;;
2017-08;Données définitives;Grand-Est;7202;5669;442;35;8;398;716;255;59;59;3022;4099;;;;;;;;
2017-08;Données définitives;Nouvelle-Aquitaine;3496;2906;32;;10;22;75;57;288;134;3067;428;;;;;;;;
2017-08;Données définitives;Auvergne-Rhône-Alpes;9093;7176;48;2;11;33;1635;55;105;72;4515;4331;;;;;;;;
2017-08;Données définitives;Bourgogne-Franche-Comté;137;;20;0;0;20;21;51;27;15;1373;-1241;;;;;;;;
2017-08;Données définitives;Bretagne;193;;0;;0;0;47;87;24;34;1456;-1268;;;;;;;;
2017-08;Données définitives;Centre-Val de Loire;5405;5227;0;;0;0;0;99;31;46;1206;4198;;;;;;;;
2017-08;Données définitives;France;37164;28585;1994;199;222;1572;3501;1242;1053;786;32110;4397;6928;2531;1189;1704;1179;444;-120;
2017-08;Données définitives;Ile-de-France;124;;2;0;2;0;3;5;8;103;4342;-4218;;;;;;;;
2017-08;Données définitives;Occitanie;1913;932;0;;0;0;483;200;229;66;2757;-1009;;;;;;;;
2017-08;Données définitives;Normandie;4300;3880;296;99;36;160;7;62;15;38;1831;2469;;;;;;;;
2017-08;Données définitives;Hauts-de-France;3773;2792;594;1;0;592;0;284;15;86;3375;397;;;;;;;;
2017-08;Données définitives;PACA;1133;;357;26;14;317;504;6;168;96;3186;-2056;;;;;;;;
2017-08;Données définitives;Pays-de-la-Loire;237;;76;34;14;26;0;74;56;30;1771;-1533;;;;;;;;
2017-09;Données définitives;Grand-Est;7376;5414;726;91;8;626;742;383;45;62;3427;3866;;;;;;;;
2017-09;Données définitives;Nouvelle-Aquitaine;4110;3532;31;;10;21;127;72;220;127;3003;1107;;;;;;;;
2017-09;Données définitives;Auvergne-Rhône-Alpes;9830;8249;91;4;16;69;1289;54;78;66;4776;4755;;;;;;;;
2017-09;Données définitives;Bourgogne-Franche-Comté;189;;20;0;0;20;59;71;21;16;1543;-1357;;;;;;;;
2017-09;Données définitives;Bretagne;215;;1;;1;0;46;121;17;29;1529;-1319;;;;;;;;
2017-09;Données définitives;Centre-Val de Loire;4608;4408;0;;0;0;3;127;24;44;1237;3370;;;;;;;;
2017-09;Données définitives;France;38655;29345;2974;579;196;2198;3094;1650;823;766;33633;4333;6931;2598;824;1634;1818;602;-547;
2017-09;Données définitives;Ile-de-France;141;;7;0;4;2;3;7;6;115;4902;-4760;;;;;;;;
2017-09;Données définitives;Occitanie;1854;1024;0;;0;0;368;219;182;59;2560;-801;;;;;;;;
2017-09;Données définitives;Normandie;4199;3616;432;236;36;160;9;94;11;35;1971;2228;;;;;;;;
2017-09;Données définitives;Hauts-de-France;4203;3100;612;4;2;605;0;395;11;82;3775;427;;;;;;;;
2017-09;Données définitives;PACA;1319;;638;64;13;560;436;6;141;96;2880;-1565;;;;;;;;
2017-09;Données définitives;Pays-de-la-Loire;493;;327;178;17;131;0;93;43;29;1868;-1374;;;;;;;;
2017-10;Données définitives;Grand-Est;8083;5505;1389;311;9;1068;603;482;34;69;3811;4200;;;;;;;;
2017-10;Données définitives;Nouvelle-Aquitaine;5224;4642;62;;10;51;110;77;192;138;3235;1988;;;;;;;;
2017-10;Données définitives;Auvergne-Rhône-Alpes;7221;5582;258;6;19;233;1142;86;71;78;5158;1663;;;;;;;;
2017-10;Données définitives;Bourgogne-Franche-Comté;208;;44;0;0;44;42;90;17;13;1743;-1535;;;;;;;;
2017-10;Données définitives;Bretagne;202;;2;;1;1;45;115;12;26;1688;-1490;;;;;;;;
2017-10;Données définitives;Centre-Val de Loire;4693;4482;2;;0;2;0;139;20;47;1398;3295;;;;;;;;
2017-10;Données définitives;France;39700;28053;5330;1220;207;3902;2735;2094;716;769;36615;2171;6216;4044;160;1067;1705;1433;-2195;
2017-10;Données définitives;Ile-de-France;170;;46;0;2;43;4;8;5;106;5452;-5281;;;;;;;;
2017-10;Données définitives;Occitanie;2759;1860;1;;0;0;398;273;162;62;2701;-134;;;;;;;;
2017-10;Données définitives;Normandie;4198;3555;461;228;31;201;9;124;8;38;2181;2017;;;;;;;;
2017-10;Données définitives;Hauts-de-France;4082;2424;983;4;1;976;0;595;8;69;4106;-23;;;;;;;;
2017-10;Données définitives;PACA;1761;;1159;73;17;1068;375;9;132;85;2942;-1188;;;;;;;;
2017-10;Données définitives;Pays-de-la-Loire;991;;834;595;29;209;0;91;32;32;2047;-1056;;;;;;;;
2017-11;Données définitives;Grand-Est;8932;6257;1362;326;9;1026;671;538;14;87;4334;4516;;;;;;;;
2017-11;Données définitives;Nouvelle-Aquitaine;5468;4756;146;;10;136;189;107;134;133;4173;1294;;;;;;;;
2017-11;Données définitives;Auvergne-Rhône-Alpes;6629;4277;353;6;18;328;1754;111;37;94;6331;-46;;;;;;;;
2017-11;Données définitives;Bourgogne-Franche-Comté;306;;103;0;0;103;51;125;8;17;2087;-1780;;;;;;;;
2017-11;Données définitives;Bretagne;333;;112;;6;106;45;137;8;29;2104;-1775;;;;;;;;
2017-11;Données définitives;Centre-Val de Loire;5756;5457;65;;0;65;0;181;10;40;1796;3960;;;;;;;;
2017-11;Données définitives;France;44983;30334;7048;1449;244;5354;3937;2336;455;869;44960;-826;4627;5453;-399;-35;1225;1087;-2704;
2017-11;Données définitives;Ile-de-France;573;;445;0;8;436;4;10;2;111;6740;-6166;;;;;;;;
2017-11;Données définitives;Occitanie;3054;1828;47;;0;46;665;337;107;68;3615;-728;;;;;;;;
2017-11;Données définitives;Normandie;5725;4940;597;241;30;325;10;130;4;41;2602;3123;;;;;;;;
2017-11;Données définitives;Hauts-de-France;4721;2815;1286;10;4;1271;0;521;4;91;4748;-26;;;;;;;;
2017-11;Données définitives;PACA;2222;;1461;295;18;1147;538;13;88;120;3673;-1454;;;;;;;;
2017-11;Données définitives;Pays-de-la-Loire;1134;;959;569;29;360;0;119;21;33;2559;-1425;;;;;;;;
2017-12;Données définitives;Grand-Est;10562;7554;1300;283;10;1007;782;825;8;91;4654;5824;;;;;;;;
2017-12;Données définitives;Nouvelle-Aquitaine;5786;4849;151;;10;141;416;169;75;122;4832;953;;;;;;;;
2017-12;Données définitives;Auvergne-Rhône-Alpes;9369;6437;316;7;19;289;2365;128;21;99;7226;1767;;;;;;;;
2017-12;Données définitives;Bourgogne-Franche-Comté;414;;126;0;0;125;104;160;4;18;2309;-1898;;;;;;;;
2017-12;Données définitives;Bretagne;480;;170;;7;163;53;216;5;33;2432;-1957;;;;;;;;
2017-12;Données définitives;Centre-Val de Loire;7317;6913;71;;0;70;14;269;5;42;2091;5226;;;;;;;;
2017-12;Données définitives;France;53317;37382;6093;852;246;4994;5333;3385;277;843;51754;682;5777;5094;295;168;1451;1680;-2912;
2017-12;Données définitives;Ile-de-France;554;;419;0;10;409;4;15;1;113;7672;-7118;;;;;;;;
2017-12;Données définitives;Occitanie;3244;1789;62;;0;61;898;354;69;68;4472;-1445;;;;;;;;
2017-12;Données définitives;Normandie;7090;6497;339;-2;34;308;14;197;2;40;2966;4124;;;;;;;;
2017-12;Données définitives;Hauts-de-France;5515;3339;1229;10;3;1215;1;844;2;98;5331;184;;;;;;;;
2017-12;Données définitives;PACA;1844;;1071;203;17;849;619;12;59;82;4584;-2744;;;;;;;;
2017-12;Données définitives;Pays-de-la-Loire;970;;733;349;32;351;2;188;12;33;2925;-1954;;;;;;;;
2018-01;Données définitives;Grand-Est;10388;7965;464;68;2;393;870;994;24;69;4498;5789;;;;;;;;
2018-01;Données définitives;Nouvelle-Aquitaine;6125;4761;170;;0;170;765;226;70;130;4498;1626;;;;;;;;
2018-01;Données définitives;Auvergne-Rhône-Alpes;11944;8512;186;7;8;170;2984;139;21;98;6759;4732;;;;;;;;
2018-01;Données définitives;Bourgogne-Franche-Comté;522;;120;0;0;120;176;199;4;20;2161;-1640;;;;;;;;
2018-01;Données définitives;Bretagne;538;;170;;1;169;62;270;4;31;2372;-1839;;;;;;;;
2018-01;Données définitives;Centre-Val de Loire;7839;7352;88;;0;88;41;306;5;44;1969;5869;;;;;;;;
2018-01;Données définitives;France;56775;40793;3558;310;133;3114;7328;4004;286;805;48723;7004;9251;2247;1426;1822;2006;1972;-223;
2018-01;Données définitives;Ile-de-France;409;;280;0;0;280;0;18;0;108;7062;-6652;;;;;;;;
2018-01;Données définitives;Occitanie;3892;1730;61;;0;61;1586;379;66;67;3969;-303;;;;;;;;
2018-01;Données définitives;Normandie;7198;6540;378;53;31;293;11;227;2;37;2903;4294;;;;;;;;
2018-01;Données définitives;Hauts-de-France;5716;3929;702;0;0;702;1;992;1;88;5478;237;;;;;;;;
2018-01;Données définitives;PACA;1400;;506;22;19;464;743;10;65;74;4014;-2622;;;;;;;;
2018-01;Données définitives;Pays-de-la-Loire;650;;370;157;13;198;2;235;9;33;2813;-2163;;;;;;;;
2018-02;Données définitives;Grand-Est;9829;7224;1169;215;4;949;699;613;57;64;4584;5185;;;;;;;;
2018-02;Données définitives;Nouvelle-Aquitaine;5515;4338;141;;0;141;596;176;147;114;4727;787;;;;;;;;
2018-02;Données définitives;Auvergne-Rhône-Alpes;10539;7115;295;6;7;281;2910;87;40;89;6904;3383;;;;;;;;
2018-02;Données définitives;Bourgogne-Franche-Comté;394;;112;;0;112;138;113;11;18;2226;-1833;;;;;;;;
2018-02;Données définitives;Bretagne;444;;170;;16;154;46;184;13;28;2422;-1981;;;;;;;;
2018-02;Données définitives;Centre-Val de Loire;7206;6848;75;;0;75;27;203;13;38;2097;5109;;;;;;;;
2018-02;Données définitives;France;53770;36409;6067;985;237;4844;7186;2782;542;781;50202;2755;7000;4244;1068;1323;1772;1261;-2669;
2018-02;Données définitives;Ile-de-France;462;;347;0;29;317;0;11;3;99;7694;-7231;;;;;;;;
2018-02;Données définitives;Occitanie;3892;1709;56;;0;56;1661;293;110;60;4160;-432;;;;;;;;
2018-02;Données définitives;Normandie;6446;5639;593;262;28;301;10;160;8;35;2951;3495;;;;;;;;
2018-02;Données définitives;Hauts-de-France;5514;3533;1134;0;0;1134;1;753;8;82;5044;469;;;;;;;;
2018-02;Données définitives;PACA;2361;;1105;119;15;970;1038;12;89;116;4190;-1831;;;;;;;;
2018-02;Données définitives;Pays-de-la-Loire;1005;;771;381;41;349;2;170;29;31;2962;-1957;;;;;;;;
2018-03;Données définitives;Grand-Est;9652;7122;1014;339;3;671;694;674;72;74;4581;4991;;;;;;;;
2018-03;Données définitives;Nouvelle-Aquitaine;5132;3858;127;;0;127;594;221;225;105;4389;742;;;;;;;;
2018-03;Données définitives;Auvergne-Rhône-Alpes;10569;7256;206;6;8;192;2819;122;72;92;6737;3480;;;;;;;;
2018-03;Données définitives;Bourgogne-Franche-Comté;421;;118;;0;118;120;143;17;20;2183;-1765;;;;;;;;
2018-03;Données définitives;Bretagne;486;;183;;13;169;43;212;14;31;2411;-1928;;;;;;;;
2018-03;Données définitives;Centre-Val de Loire;7579;7178;75;;0;75;21;245;20;38;1926;5653;;;;;;;;
2018-03;Données définitives;France;52502;35678;4953;837;179;3936;7129;3129;796;814;48493;3101;7101;4000;1094;-726;1901;1669;-838;
2018-03;Données définitives;Ile-de-France;501;;375;0;29;346;0;13;5;107;7442;-6940;;;;;;;;
2018-03;Données définitives;Occitanie;4107;1828;57;;0;56;1643;346;172;60;3859;60;;;;;;;;
2018-03;Données définitives;Normandie;5655;5093;332;19;31;280;11;169;8;40;2894;2761;;;;;;;;
2018-03;Données définitives;Hauts-de-France;5106;3341;904;0;0;904;1;762;7;88;4956;150;;;;;;;;
2018-03;Données définitives;PACA;2158;;839;91;16;731;1060;12;127;119;4042;-1885;;;;;;;;
2018-03;Données définitives;Pays-de-la-Loire;950;;672;381;31;260;3;203;37;33;2837;-1886;;;;;;;;
2018-04;Données définitives;Grand-Est;7596;5914;242;48;4;190;762;514;100;61;3523;4003;;;;;;;;
2018-04;Données définitives;Nouvelle-Aquitaine;4002;3028;13;;0;13;452;118;278;111;3269;733;;;;;;;;
2018-04;Données définitives;Auvergne-Rhône-Alpes;9426;6338;14;5;8;0;2791;102;101;77;5142;3873;;;;;;;;
2018-04;Données définitives;Bourgogne-Franche-Comté;259;;16;;0;16;81;114;27;19;1619;-1365;;;;;;;;
2018-04;Données définitives;Bretagne;239;;1;;1;0;48;136;22;30;1757;-1522;;;;;;;;
2018-04;Données définitives;Centre-Val de Loire;6422;6190;0;;0;0;18;142;28;41;1384;5038;;;;;;;;
2018-04;Données définitives;France;42741;30592;1173;248;96;828;6975;2164;1039;794;36276;5597;7903;2305;1030;1037;1460;1127;940;
2018-04;Données définitives;Ile-de-France;122;;3;0;2;0;1;8;8;101;5297;-5175;;;;;;;;
2018-04;Données définitives;Occitanie;3610;1590;0;;0;0;1486;264;214;53;2875;554;;;;;;;;
2018-04;Données définitives;Normandie;5443;5069;195;12;25;158;13;115;13;34;2190;3252;;;;;;;;
2018-04;Données définitives;Hauts-de-France;3504;2460;406;0;0;406;1;534;14;88;3847;-342;;;;;;;;
2018-04;Données définitives;PACA;1575;;42;-1;12;32;1223;8;158;141;3072;-1498;;;;;;;;
2018-04;Données définitives;Pays-de-la-Loire;389;;199;183;7;8;2;103;51;31;2129;-1739;;;;;;;;
2018-05;Données définitives;Grand-Est;8337;6851;89;16;3;68;863;352;112;68;3372;4897;;;;;;;;
2018-05;Données définitives;Nouvelle-Aquitaine;4050;3090;18;;0;17;388;86;331;135;3096;953;;;;;;;;
2018-05;Données définitives;Auvergne-Rhône-Alpes;10117;6387;14;6;8;0;3452;66;106;89;4886;4879;;;;;;;;
2018-05;Données définitives;Bourgogne-Franche-Comté;187;;19;;0;19;46;68;32;19;1547;-1366;;;;;;;;
2018-05;Données définitives;Bretagne;212;;1;;1;0;48;97;30;34;1532;-1325;;;;;;;;
2018-05;Données définitives;Centre-Val de Loire;6976;6772;0;;0;0;13;104;39;47;1272;5704;;;;;;;;
2018-05;Données définitives;France;42744;30581;846;158;100;587;7723;1601;1173;816;33994;7851;9468;1616;1297;1870;1576;464;2642;
2018-05;Données définitives;Ile-de-France;130;;1;0;2;0;6;7;11;103;5008;-4877;;;;;;;;
2018-05;Données définitives;Occitanie;3217;1186;0;;0;0;1478;268;221;60;2705;300;;;;;;;;
2018-05;Données définitives;Normandie;4248;3820;284;83;31;168;12;70;20;40;1945;2302;;;;;;;;
2018-05;Données définitives;Hauts-de-France;3243;2472;273;0;0;273;1;385;19;91;3683;-439;;;;;;;;
2018-05;Données définitives;PACA;1624;;44;-2;6;40;1324;5;159;89;2869;-1247;;;;;;;;
2018-05;Données définitives;Pays-de-la-Loire;257;;61;53;8;-1;2;86;71;35;1915;-1657;;;;;;;;
2018-06;Données définitives;Grand-Est;8194;6816;125;12;1;111;813;256;111;70;3310;4821;;;;;;;;
2018-06;Données définitives;Nouvelle-Aquitaine;3847;2866;16;;0;16;357;109;366;131;2908;939;;;;;;;;
2018-06;Données définitives;Auvergne-Rhône-Alpes;9857;6146;14;5;7;1;3417;61;134;82;4719;4873;;;;;;;;
2018-06;Données définitives;Bourgogne-Franche-Comté;206;;18;;0;18;61;66;39;21;1490;-1286;;;;;;;;
2018-06;Données définitives;Bretagne;188;;2;;2;0;43;83;27;31;1444;-1260;;;;;;;;
2018-06;Données définitives;Centre-Val de Loire;5889;5695;0;;0;0;12;102;38;40;1228;4661;;;;;;;;
2018-06;Données définitives;France;40737;28624;1108;272;115;721;7584;1372;1316;730;32614;7357;8507;1150;1057;1568;1731;440;2559;
2018-06;Données définitives;Ile-de-France;128;;2;0;2;0;5;5;10;102;4766;-4638;;;;;;;;
2018-06;Données définitives;Occitanie;2693;672;0;;0;0;1507;189;272;50;2544;-46;;;;;;;;
2018-06;Données définitives;Normandie;4671;4190;355;224;22;109;11;58;18;36;1842;2828;;;;;;;;
2018-06;Données définitives;Hauts-de-France;3062;2235;369;0;0;369;1;353;18;83;3533;-471;;;;;;;;
2018-06;Données définitives;PACA;1641;;85;-1;10;77;1312;7;189;45;2843;-1202;;;;;;;;
2018-06;Données définitives;Pays-de-la-Loire;241;;61;31;13;16;2;78;67;31;1827;-1585;;;;;;;;
2018-07;Données définitives;Grand-Est;7335;5505;859;157;1;699;533;238;119;78;3403;3876;;;;;;;;
2018-07;Données définitives;Nouvelle-Aquitaine;4527;3740;16;;0;16;161;67;404;136;3226;1300;;;;;;;;
2018-07;Données définitives;Auvergne-Rhône-Alpes;8874;5946;23;5;8;9;2626;48;147;83;4993;3659;;;;;;;;
2018-07;Données définitives;Bourgogne-Franche-Comté;148;;19;;0;19;17;47;41;22;1531;-1384;;;;;;;;
2018-07;Données définitives;Bretagne;195;;3;;3;0;46;79;30;35;1490;-1300;;;;;;;;
2018-07;Données définitives;Centre-Val de Loire;6352;6191;0;;0;0;1;76;41;41;1304;5047;;;;;;;;
2018-07;Données définitives;France;41261;29958;2649;586;163;1899;5278;1102;1461;810;34602;6011;7720;1708;1300;1746;1703;-124;1385;
2018-07;Données définitives;Ile-de-France;148;;6;0;4;1;5;4;12;119;4901;-4753;;;;;;;;
2018-07;Données définitives;Occitanie;2384;823;0;;0;0;1038;156;306;59;2909;-688;;;;;;;;
2018-07;Données définitives;Normandie;5543;5226;203;57;23;122;9;49;21;31;1913;3629;;;;;;;;
2018-07;Données définitives;Hauts-de-France;3663;2524;759;0;0;759;0;265;20;91;3621;42;;;;;;;;
2018-07;Données définitives;PACA;1250;;126;-1;12;115;822;4;216;79;3191;-1941;;;;;;;;
2018-07;Données définitives;Pays-de-la-Loire;700;;534;366;12;154;0;61;74;29;1918;-1217;;;;;;;;
2018-08;Données définitives;Grand-Est;5166;3627;643;13;2;627;410;299;109;76;3099;2018;;;;;;;;
2018-08;Données définitives;Nouvelle-Aquitaine;4347;3637;22;;0;22;67;85;394;139;3135;1212;;;;;;;;
2018-08;Données définitives;Auvergne-Rhône-Alpes;8240;5791;60;4;6;49;2111;64;133;79;4568;3401;;;;;;;;
2018-08;Données définitives;Bourgogne-Franche-Comté;165;;20;;0;20;19;65;38;21;1404;-1240;;;;;;;;
2018-08;Données définitives;Bretagne;175;;2;;1;0;49;62;25;35;1466;-1296;;;;;;;;
2018-08;Données définitives;Centre-Val de Loire;6216;6034;0;;0;0;0;95;39;46;1258;4958;;;;;;;;
2018-08;Données définitives;France;37283;27294;2515;502;189;1824;3906;1405;1349;811;32451;4142;6593;2450;1141;1119;914;154;812;
2018-08;Données définitives;Ile-de-France;141;;13;0;10;2;4;6;10;106;4387;-4245;;;;;;;;
2018-08;Données définitives;Occitanie;1811;618;0;;0;0;646;207;277;61;2840;-1222;;;;;;;;
2018-08;Données définitives;Normandie;5760;5348;275;119;30;125;8;68;18;40;1821;3939;;;;;;;;
2018-08;Données définitives;Hauts-de-France;3520;2237;786;0;0;786;0;382;18;95;3357;162;;;;;;;;
2018-08;Données définitives;PACA;1052;;200;0;13;187;572;5;195;78;3122;-2070;;;;;;;;
2018-08;Données définitives;Pays-de-la-Loire;536;;377;364;12;0;0;61;68;28;1782;-1246;;;;;;;;
2018-09;Données définitives;Grand-Est;7260;5590;751;134;2;614;401;348;100;67;3297;3910;;;;;;;;
2018-09;Données définitives;Nouvelle-Aquitaine;4451;3751;21;;0;21;110;101;340;127;2953;1498;;;;;;;;
2018-09;Données définitives;Auvergne-Rhône-Alpes;7985;6285;56;6;9;39;1387;57;120;78;4664;2943;;;;;;;;
2018-09;Données définitives;Bourgogne-Franche-Comté;233;;44;;0;44;60;72;34;22;1483;-1252;;;;;;;;
2018-09;Données définitives;Bretagne;224;;1;;0;0;48;119;23;31;1458;-1238;;;;;;;;
2018-09;Données définitives;Centre-Val de Loire;5815;5596;7;;0;7;0;128;34;47;1223;4591;;;;;;;;
2018-09;Données définitives;France;38868;30099;2144;348;157;1638;3028;1614;1194;787;32683;5355;7429;2073;870;1270;1603;181;1430;
2018-09;Données définitives;Ile-de-France;120;;1;0;1;0;3;7;9;99;4694;-4573;;;;;;;;
2018-09;Données définitives;Occitanie;2537;1576;0;;0;0;493;165;246;55;2591;-229;;;;;;;;
2018-09;Données définitives;Normandie;5835;5538;146;-1;30;117;8;91;16;34;1922;3913;;;;;;;;
2018-09;Données définitives;Hauts-de-France;2823;1760;543;0;0;543;0;417;15;86;3641;-818;;;;;;;;
2018-09;Données définitives;PACA;1059;;266;0;16;250;507;5;176;105;2781;-1721;;;;;;;;
2018-09;Données définitives;Pays-de-la-Loire;408;;220;208;11;0;0;99;58;29;1810;-1401;;;;;;;;
2018-10;Données définitives;Grand-Est;9045;6825;1179;271;3;904;354;537;87;61;3813;5152;;;;;;;;
2018-10;Données définitives;Nouvelle-Aquitaine;4040;3394;48;;0;48;90;155;224;126;3315;724;;;;;;;;
2018-10;Données définitives;Auvergne-Rhône-Alpes;7871;6149;167;6;10;150;1268;112;85;87;5263;2211;;;;;;;;
2018-10;Données définitives;Bourgogne-Franche-Comté;230;;43;;0;43;19;115;24;28;1709;-1479;;;;;;;;
2018-10;Données définitives;Bretagne;245;;4;;1;3;44;150;18;27;1745;-1505;;;;;;;;
2018-10;Données définitives;Centre-Val de Loire;5484;5220;8;;0;8;0;181;25;48;1414;4069;;;;;;;;
2018-10;Données définitives;France;42356;31613;3721;793;152;2775;2931;2497;822;769;37102;4371;6657;2285;765;230;1305;1496;573;
2018-10;Données définitives;Ile-de-France;136;;11;0;2;9;3;10;8;102;5535;-5398;;;;;;;;
2018-10;Données définitives;Occitanie;3021;1844;1;;0;1;599;358;155;61;2809;6;;;;;;;;
2018-10;Données définitives;Normandie;5399;5066;150;-4;30;123;8;123;13;37;2251;3148;;;;;;;;
2018-10;Données définitives;Hauts-de-France;4486;3112;679;0;0;679;0;600;12;81;4147;339;;;;;;;;
2018-10;Données définitives;PACA;1535;;819;-2;19;802;521;11;112;70;2838;-1303;;;;;;;;
2018-10;Données définitives;Pays-de-la-Loire;753;;537;522;14;0;0;139;43;32;2106;-1353;;;;;;;;
2018-11;Données définitives;Grand-Est;10755;8369;1353;226;4;1122;290;621;49;70;4220;6487;;;;;;;;
2018-11;Données définitives;Nouvelle-Aquitaine;5275;4562;166;;0;166;102;167;140;135;4024;1250;;;;;;;;
2018-11;Données définitives;Auvergne-Rhône-Alpes;8138;5924;323;7;10;305;1650;98;46;95;5948;1772;;;;;;;;
2018-11;Données définitives;Bourgogne-Franche-Comté;286;;109;;0;109;10;121;13;31;1971;-1685;;;;;;;;
2018-11;Données définitives;Bretagne;408;;133;;4;129;42;194;11;27;2139;-1734;;;;;;;;
2018-11;Données définitives;Centre-Val de Loire;4886;4581;58;;0;58;1;189;12;42;1753;3132;;;;;;;;
2018-11;Données définitives;France;46318;32658;5600;503;161;4934;3970;2807;491;791;43738;1679;5216;3536;701;-131;830;568;-288;
2018-11;Données définitives;Ile-de-France;479;;352;0;15;337;3;10;4;107;6758;-6278;;;;;;;;
2018-11;Données définitives;Occitanie;3286;1810;55;;0;55;963;294;98;64;3399;-307;;;;;;;;
2018-11;Données définitives;Normandie;4891;4389;283;1;26;255;8;165;7;35;2632;2259;;;;;;;;
2018-11;Données définitives;Hauts-de-France;5123;3021;1250;0;3;1247;0;761;7;82;4720;403;;;;;;;;
2018-11;Données définitives;PACA;2017;;1050;31;19;1000;831;8;62;64;3424;-1407;;;;;;;;
2018-11;Données définitives;Pays-de-la-Loire;637;;403;236;20;146;0;173;26;33;2567;-1929;;;;;;;;
2018-12;Données définitives;Grand-Est;11218;8749;842;91;6;744;638;887;19;80;4359;6814;;;;;;;;
2018-12;Données définitives;Nouvelle-Aquitaine;5538;4745;158;;0;158;205;220;66;142;4295;1243;;;;;;;;
2018-12;Données définitives;Auvergne-Rhône-Alpes;11306;8345;246;7;10;228;2463;120;25;105;6671;4235;;;;;;;;
2018-12;Données définitives;Bourgogne-Franche-Comté;419;;130;;0;130;72;183;5;27;2089;-1674;;;;;;;;
2018-12;Données définitives;Bretagne;466;;167;;2;164;51;213;2;31;2284;-1823;;;;;;;;
2018-12;Données définitives;Centre-Val de Loire;7255;6875;61;;0;61;3;267;5;42;1979;5276;;;;;;;;
2018-12;Données définitives;France;53394;38890;4522;218;193;4110;5182;3661;292;844;47553;5007;8180;3173;1230;910;1730;1377;-240;
2018-12;Données définitives;Ile-de-France;487;;349;0;10;338;6;15;0;115;7248;-6761;;;;;;;;
2018-12;Données définitives;Occitanie;3148;1763;65;;0;65;853;326;73;65;3851;-907;;;;;;;;
2018-12;Données définitives;Normandie;5064;4475;319;39;36;242;13;217;2;36;2812;2251;;;;;;;;
